Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
100,3-GRAMS,0.75,Training,7182,786,3203,3979,3203,4765,3998,3970,0.8029667856598325,1.0,0.8011505752876438,0.9005752876438219,0.8895986668518261,0.8350472193074502,1.0022670025188918,0.9186571109131709,0.9110475100171723,0.901355421686747,0.901355421686747,0.901355421686747,0.901355421686747
100,3-GRAMS,0.75,Test,1377,1282,213,1164,376,2283,1333,1326,0.14026809869888288,0.5664893617021277,0.15978994748687173,0.3631396545944997,0.24926857811585726,0.5098554533508541,0.8778280542986425,0.6938417538247483,0.6450540315876975,0.5178638585934562,0.5178638585934562,0.5178638585934562,0.5178638585934562
1000,3-GRAMS,0.75,Training,7820,148,3989,3831,4137,3831,3998,3970,0.962815097725185,0.9642252840222383,0.9977488744372186,0.9809870792297284,0.980700676090965,1.0,0.9649874055415617,0.9824937027707809,0.9821817715677478,0.981425702811245,0.981425702811245,0.981425702811245,0.981425702811245
1000,3-GRAMS,0.75,Test,1419,1240,1093,326,2094,565,1333,1326,0.2015877272485542,0.5219675262655206,0.8199549887471868,0.6709612575063537,0.6378756930259702,0.5769911504424778,0.2458521870286576,0.41142166873556774,0.3447911158117398,0.5336592704024069,0.5336592704024069,0.5336592704024069,0.5336592704024069
10,3-GRAMS,0.5,Training,3992,3976,13,3979,13,7955,3998,3970,0.0032589972568148056,1.0,0.0032516258129064533,0.5016258129064533,0.006482174021441037,0.5001885606536769,1.0022670025188918,0.7512277815862843,0.6673375262054507,0.501004016064257,0.501004016064257,0.501004016064257,0.501004016064257
10,3-GRAMS,0.5,Test,1329,1330,3,1326,4,2655,1333,1326,0.002250562640660165,0.75,0.002250562640660165,0.3761252813203301,0.004487658937920718,0.4994350282485876,1.0,0.7497175141242938,0.666164280331575,0.49981195938322676,0.49981195938322676,0.49981195938322676,0.49981195938322676
100,3-GRAMS,0.5,Training,7042,926,3989,3053,4915,3053,3998,3970,0.7672864769916444,0.8115971515768057,0.9977488744372186,0.9046730130070122,0.8950970492538987,1.0,0.7690176322418136,0.8845088161209068,0.8694290189377759,0.883785140562249,0.883785140562249,0.883785140562249,0.883785140562249
100,3-GRAMS,0.5,Test,1395,1264,1111,284,2154,505,1333,1326,0.17850842801198036,0.5157845868152274,0.8334583645911477,0.6746214757031876,0.6372239747634069,0.5623762376237624,0.21417797888386123,0.38827710825381184,0.3102129983615511,0.5246333207972922,0.5246333207972922,0.5246333207972922,0.5246333207972922
1000,3-GRAMS,0.5,Training,7772,196,3989,3783,4185,3783,3998,3970,0.9507516352634756,0.9531660692951015,0.9977488744372186,0.97545747186616,0.9749480630575583,1.0,0.9528967254408061,0.976448362720403,0.9758803043982974,0.9754016064257028,0.9754016064257028,0.9754016064257028,0.9754016064257028
1000,3-GRAMS,0.5,Test,1409,1250,1147,262,2212,447,1333,1326,0.17001648602195796,0.5185352622061483,0.8604651162790697,0.689500189242609,0.6471086036671369,0.5861297539149888,0.1975867269984917,0.3918582404567402,0.2955442752397067,0.5298984580669425,0.5298984580669425,0.5298984580669425,0.5298984580669425
10,3-GRAMS,0.25,Training,4000,3968,3978,22,7935,33,3998,3970,0.0055138400434474166,0.5013232514177693,0.9949974987493747,0.748160375083572,0.6667225341489986,0.6666666666666666,0.0055415617128463475,0.3361041141897565,0.010991756182862853,0.5020080321285141,0.5020080321285141,0.5020080321285141,0.5020080321285141
10,3-GRAMS,0.25,Test,1329,1330,1310,19,2618,41,1333,1326,0.014081574692315612,0.5003819709702063,0.9827456864216054,0.7415638286959059,0.663123259934194,0.4634146341463415,0.014328808446455505,0.2388717212963985,0.02779809802487198,0.49981195938322676,0.49981195938322676,0.49981195938322676,0.49981195938322676
100,3-GRAMS,0.25,Training,6507,1461,2528,3979,2528,5440,3998,3970,0.6337496204021407,1.0,0.6323161580790395,0.8161580790395198,0.7747471651854122,0.7314338235294118,1.0022670025188918,0.8668504130241518,0.8456960680127523,0.8166415662650602,0.8166415662650602,0.8166415662650602,0.8166415662650602
100,3-GRAMS,0.25,Test,1395,1264,281,1114,494,2165,1333,1326,0.177099704790451,0.5688259109311741,0.2108027006751688,0.38981430580317145,0.307608100711549,0.5145496535796766,0.8401206636500754,0.677335158614876,0.638212546548267,0.5246333207972922,0.5246333207972922,0.5246333207972922,0.5246333207972922
1000,3-GRAMS,0.25,Training,7659,309,3680,3979,3680,4288,3998,3970,0.922546915775268,1.0,0.9204602301150575,0.9602301150575288,0.9585829643136233,0.9279384328358209,1.0022670025188918,0.9651027176773563,0.9636715911843061,0.9612198795180723,0.9612198795180723,0.9612198795180723,0.9612198795180723
1000,3-GRAMS,0.25,Test,1395,1264,248,1147,428,2231,1333,1326,0.16093163562383808,0.5794392523364486,0.18604651162790697,0.38274288198217776,0.2816581487791028,0.5141192290452712,0.8650075414781297,0.6895633852617005,0.6449254990160248,0.5246333207972922,0.5246333207972922,0.5246333207972922,0.5246333207972922
10,4-GRAMS,1,Training,5509,2337,3925,1584,6260,1586,3998,3848,0.4041261795138734,0.6269968051118211,0.9817408704352176,0.8043688377735194,0.7652563852602846,0.9987389659520807,0.41164241164241167,0.7051906887972461,0.5829959514170041,0.7021412184552638,0.7021412184552638,0.7021412184552638,0.7021412184552638
10,4-GRAMS,1,Test,1309,1316,1276,33,2548,77,1333,1292,0.024449610854726064,0.5007849293563579,0.9572393098274569,0.7290121195919074,0.657562483895903,0.42857142857142855,0.025541795665634675,0.22705661211853162,0.04821037253469686,0.49866666666666665,0.49866666666666665,0.49866666666666665,0.49866666666666665
100,4-GRAMS,1,Training,7180,666,3927,3253,4593,3253,3998,3848,0.8303613215131475,0.8549967341606793,0.9822411205602801,0.9186189273604797,0.914212548015365,1.0,0.8453742203742204,0.9226871101871101,0.9162089846500493,0.9151159826663268,0.9151159826663268,0.9151159826663268,0.9151159826663268
100,4-GRAMS,1,Test,1322,1303,1291,31,2565,60,1333,1292,0.02323781409748722,0.5033138401559454,0.9684921230307577,0.7359029815933515,0.6623909697280657,0.5166666666666667,0.023993808049535603,0.27033023735810113,0.04585798816568048,0.5036190476190476,0.5036190476190476,0.5036190476190476,0.5036190476190476
1000,4-GRAMS,1,Training,7736,110,3927,3809,4037,3809,3998,3848,0.9722859740681151,0.9727520435967303,0.9822411205602801,0.9774965820785052,0.9774735532047294,1.0,0.9898648648648649,0.9949324324324325,0.9949066213921902,0.9859801172572011,0.9859801172572011,0.9859801172572011,0.9859801172572011
