Max Iterations,Feature Set,Learning Rate,Type Set,Total Error,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
100,BIGRAMS,0.25,Training,300.7682827652045,6694,1299,2698,3996,2698,5295,3998,3995,0.6750063392146637,1.0,0.6748374187093547,0.8374187093546773,0.8058542413381123,0.7546742209631728,1.000250312891114,0.8774622669271435,0.8602798708288482,0.8374827974477668,0.8374827974477668,0.8374827974477668,0.8374827974477668
100,BIGRAMS,0.25,Test,417.4687341439457,1635,1030,644,991,985,1680,1333,1332,0.35943895883880883,0.6538071065989848,0.4831207801950488,0.5684639433970168,0.5556514236410699,0.5898809523809524,0.743993993993994,0.6669374731874732,0.6580345285524568,0.6135084427767354,0.6135084427767354,0.6135084427767354,0.6135084427767354
1000,BIGRAMS,0.25,Training,33.610516076963854,7889,104,3997,3892,4101,3892,3998,3995,0.9739740959340746,0.9746403316264326,0.9997498749374687,0.9871951032819506,0.9870354364736388,1.0,0.9742177722152691,0.9871088861076345,0.9869405350576899,0.9869886150381584,0.9869886150381584,0.9869886150381584,0.9869886150381584
1000,BIGRAMS,0.25,Test,435.69214175632254,1648,1017,954,694,1592,1073,1333,1332,0.37288376148091074,0.5992462311557789,0.7156789197299325,0.6574625754428557,0.6523076923076924,0.646784715750233,0.521021021021021,0.583902868385627,0.5771309771309772,0.6183864915572233,0.6183864915572233,0.6183864915572233,0.6183864915572233
5000,BIGRAMS,0.25,Training,9.12471338293087,7964,29,3996,3968,4024,3969,3998,3995,0.9927446827293497,0.9930417495029821,0.9994997498749375,0.9962707496889598,0.9962602842183994,0.999748047367095,0.9932415519399249,0.99649479965351,0.9964841788046208,0.9963718253471788,0.9963718253471788,0.9963718253471788,0.9963718253471788
5000,BIGRAMS,0.25,Test,425.7830227162282,1672,993,884,788,1428,1237,1333,1332,0.39232330605173815,0.6190476190476191,0.6631657914478619,0.6411067052477405,0.6403477001086563,0.6370250606305577,0.5915915915915916,0.6143083261110747,0.6134682755936162,0.6273921200750469,0.6273921200750469,0.6273921200750469,0.6273921200750469
10,3-GRAMS,1,Training,796.9794739960166,4980,2988,1003,3977,1005,6963,3998,3970,0.25131778735715465,0.9980099502487563,0.25087543771885945,0.6244426939838079,0.4009594243453928,0.5711618555220451,1.00176322418136,0.7864625398517027,0.7275221805542851,0.625,0.625,0.625,0.625
10,3-GRAMS,1,Test,380.11381581723896,1337,1322,139,1198,268,2391,1333,1326,0.09421020413474408,0.5186567164179104,0.10427606901725431,0.31146639271758236,0.1736414740787008,0.5010455876202425,0.9034690799396682,0.7022573337799554,0.644605864944848,0.5028206092515983,0.5028206092515983,0.5028206092515983,0.5028206092515983
100,3-GRAMS,1,Training,161.88936933572276,7340,628,3361,3979,3361,4607,3998,3970,0.8425761369349664,1.0,0.8406703351675838,0.9203351675837919,0.9134393259953799,0.8636856956804863,1.0022670025188918,0.932976349099689,0.9278302436749448,0.9211847389558233,0.9211847389558233,0.9211847389558233,0.9211847389558233
100,3-GRAMS,1,Test,397.85117877203504,1394,1265,234,1160,401,2258,1333,1326,0.15356780371563478,0.5835411471321695,0.17554388597149287,0.3795425165518312,0.2698961937716263,0.5137289636846767,0.8748114630467572,0.6942702133657169,0.6473214285714286,0.5242572395637458,0.5242572395637458,0.5242572395637458,0.5242572395637458
